"Frequency";"Verification test [FTB-101]" (Magnitude (dB));"H1-X1 [open ] TAP-1" (Magnitude (dB));"H2-X2 [open ] TAP-1" (Magnitude (dB));"H3-X3 [open ] TAP-1" (Magnitude (dB));" X1-H0X0 [open] TAP-1" (Magnitude (dB));"X2-H0X0  [open] TAP-1" (Magnitude (dB));"X3-X0H0 [open] TAP-1" (Magnitude (dB));"Y1-Y3  [ open] TAP-1" (Magnitude (dB));"Y2-Y1 [open] TAP-1" (Magnitude (dB));"Y3-Y2 [ open ] TAP-1" (Magnitude (dB));"H1-X0H0 [short X1-X2-X3] TAP-1" (Magnitude (dB));"H2-X0H0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H1-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H2-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"X1-H0X0 [short Y1-Y2-Y3] TAP-1" (Magnitude (dB));"X2-H0X0 [short Y1-Y2-Y3, ] TAP-1" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"Verification test [FTB-101] (1)" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1 (1)" (Magnitude (dB))
47,986401;-0,033706;-41,576439;-44,307797;-42,318532;-42,033111;-43,681343;-41,617371;-20,255911;-22,358587;-21,174115;-8,570179;-8,511758;-8,632281;-13,912645;-13,692938;-13,778746;-3,787460;-2,310663;-38,078771;-0,032477;-2,575245
50,244900;-0,034124;-43,890282;-42,968009;-41,782872;-41,498019;-43,124210;-41,843080;-20,551879;-22,610262;-21,319914;-8,918895;-8,850241;-8,964927;-14,249339;-14,078505;-14,159045;-3,885798;-2,452780;-38,332528;-0,032546;-2,706599
52,596401;-0,033697;-41,894155;-46,338230;-43,318291;-42,812478;-44,958586;-42,384803;-20,909390;-23,006515;-21,759004;-9,247824;-9,200297;-9,320596;-14,645680;-14,441172;-14,502486;-4,005348;-2,602979;-38,947198;-0,032755;-2,845814
55,087700;-0,033715;-43,413950;-45,483858;-43,126961;-42,665099;-45,000808;-42,658055;-21,236152;-23,300059;-21,963100;-9,603361;-9,550698;-9,667310;-15,002439;-14,829888;-14,882688;-4,122154;-2,762791;-39,290285;-0,032598;-2,995017
57,672100;-0,034028;-43,294993;-46,571914;-43,930885;-43,403443;-45,409059;-43,167180;-21,548002;-23,650940;-22,284445;-9,953069;-9,902404;-10,022133;-15,375503;-15,200504;-15,251187;-4,249261;-2,932522;-39,708581;-0,032834;-3,151223
60,396301;-0,033270;-44,234766;-46,636067;-44,148650;-43,563116;-45,874488;-43,510454;-21,889587;-23,983830;-22,560210;-10,310957;-10,259864;-10,377714;-15,742936;-15,586596;-15,630498;-4,383821;-3,109375;-40,118463;-0,032389;-3,316649
63,236801;-0,033819;-44,389622;-47,600883;-44,826636;-44,152993;-46,321957;-43,985988;-22,222129;-24,349158;-22,889011;-10,668965;-10,619651;-10,739170;-16,118987;-15,964958;-16,006157;-4,527723;-3,297176;-40,546152;-0,032729;-3,491335
66,217003;-0,033706;-45,111918;-47,871168;-45,212921;-44,477415;-46,757806;-44,372419;-22,571718;-24,710455;-23,187052;-11,033481;-10,981784;-11,102249;-16,494171;-16,350851;-16,387104;-4,679614;-3,492971;-40,955449;-0,032694;-3,675121
69,336998;-0,033985;-45,424843;-48,640803;-45,836444;-45,015651;-47,115503;-44,832649;-22,924783;-25,087263;-23,510793;-11,399047;-11,347925;-11,470068;-16,874227;-16,732776;-16,765873;-4,840258;-3,699369;-41,309405;-0,032982;-3,868519
72,619904;-0,034116;-46,061467;-49,036070;-46,275339;-45,413529;-47,583189;-45,267561;-23,289270;-25,466792;-23,840726;-11,770367;-11,719061;-11,840495;-17,253044;-17,121476;-17,152962;-5,010453;-3,915002;-41,727389;-0,033366;-4,071358
